name,lat,lng
GARAGEM,-4.962415,-39.010865
C2,-4.960622,-39.009430
C3,-4.962033,-39.005934
C6,-4.965316,-39.005866
C7,-4.966565,-39.007581
C5,-4.969128,-39.006059
C8,-4.971109,-39.008526
C9,-4.970438,-39.011741
B2,-4.968382,-39.011743
B1,-4.965193,-39.013321
C1,-4.962181,-39.013479
C4,-4.966262,-39.001782
A3,-4.967625,-39.026117
A2,-4.960204,-39.026126
A1,-4.953048,-39.028876
A7,-4.961191,-39.034132
A5,-4.964970,-39.034794
A6,-4.963390,-39.038715
A4,-4.967482,-39.032398
LIXAO,-4.977556,-38.998840